Time,domination
2026-02-13,82.86297326203209
2026-02-14,86.00966844919786
2026-02-15,88.10746524064172
2026-02-16,87.05856684491978
2026-02-17,87.05856684491978
2026-02-18,73.42288770053476
2026-02-19,72.37398930481284
2026-02-20,66.08059893048129
2026-02-21,74.47178609625668
2026-02-22,83.911871657754
2026-02-23,86.00966844919786
2026-02-24,59.78720855614973
2026-02-25,68.17839572192513
2026-02-26,78.66737967914439
2026-02-27,93.35195721925133
2026-02-28,48.249326203208554
2026-03-01,51.39602139037433
2026-03-02,70.27619251336898
2026-03-03,57.68941176470588
2026-03-04,62.933903743315504
2026-03-05,66.08059893048129
2026-03-06,61.885005347593584
2026-03-07,50.34712299465241
2026-03-08,60.836106951871656
2026-03-09,60.836106951871656
2026-03-10,58.73831016042781
2026-03-11,59.78720855614973
2026-03-12,60.836106951871656
2026-03-13,46.151529411764706
2026-03-14,65.03170053475935
2026-03-15,57.68941176470588
2026-03-16,53.49381818181818
2026-03-17,52.44491978609626
2026-03-18,54.542716577540105
2026-03-19,55.59161497326203
2026-03-20,61.885005347593584
2026-03-21,58.73831016042781
2026-03-22,69.22729411764706
2026-03-23,70.27619251336898
2026-03-24,55.59161497326203
2026-03-25,51.39602139037433
2026-03-26,58.73831016042781
2026-03-27,65.03170053475935
